method,coin,n,wr,pf,usd
M1_55EMA,ARB,24,41.7,1.59,489.0
M1_55EMA,XLM,25,40.0,1.49,329.0
M1_55EMA,APT,23,47.8,1.44,361.0
M1_55EMA,1000PEPE,19,31.6,1.34,259.0
M1_55EMA,ADA,31,45.2,1.27,276.0
M1_55EMA,WLD,24,37.5,1.27,288.0
M1_55EMA,BNB,21,42.9,1.22,119.0
M1_55EMA,DOT,22,36.4,1.19,129.0
M1_55EMA,INJ,31,35.5,1.01,12.0
M1_55EMA,WIF,19,36.8,0.98,-21.0
M1_55EMA,ZEC,14,35.7,0.97,-18.0
M1_55EMA,NEO,30,30.0,0.96,-49.0
M1_55EMA,DOGE,24,29.2,0.89,-91.0
M1_55EMA,LINK,25,36.0,0.88,-109.0
M1_55EMA,XRP,28,35.7,0.84,-170.0
M1_55EMA,BTC,24,29.2,0.81,-77.0
M1_55EMA,LTC,29,37.9,0.81,-178.0
M1_55EMA,TON,23,30.4,0.68,-245.0
M1_55EMA,ETH,28,25.0,0.64,-439.0
M1_55EMA,TRX,20,35.0,0.62,-160.0
M1_55EMA,ETC,26,30.8,0.6,-466.0
M1_55EMA,SUI,19,31.6,0.59,-380.0
M1_55EMA,OP,26,34.6,0.57,-527.0
M1_55EMA,NEAR,21,23.8,0.56,-489.0
M1_55EMA,IOTA,23,17.4,0.55,-474.0
M1_55EMA,SOL,24,25.0,0.53,-433.0
M1_55EMA,AVAX,21,23.8,0.52,-452.0
M2_StochRSI,DOGE,26,42.3,1.4,325.0
M2_StochRSI,XRP,28,42.9,1.19,135.0
M2_StochRSI,NEAR,29,44.8,1.1,92.0
M2_StochRSI,BNB,27,44.4,1.05,19.0
M2_StochRSI,TRX,27,44.4,1.05,19.0
M2_StochRSI,DOT,28,39.3,1.03,25.0
M2_StochRSI,XLM,33,39.4,1.01,13.0
M2_StochRSI,NEO,29,31.0,0.98,-18.0
M2_StochRSI,ADA,26,38.5,0.9,-87.0
M2_StochRSI,ETC,34,26.5,0.89,-115.0
M2_StochRSI,APT,29,34.5,0.85,-149.0
M2_StochRSI,AVAX,31,32.3,0.83,-163.0
M2_StochRSI,LINK,23,30.4,0.78,-173.0
M2_StochRSI,ETH,33,33.3,0.77,-194.0
M2_StochRSI,ARB,25,36.0,0.74,-313.0
M2_StochRSI,SUI,25,40.0,0.74,-204.0
M2_StochRSI,1000PEPE,33,33.3,0.73,-406.0
M2_StochRSI,SOL,24,37.5,0.71,-199.0
M2_StochRSI,WLD,29,31.0,0.69,-404.0
M2_StochRSI,TON,27,33.3,0.67,-282.0
M2_StochRSI,OP,30,26.7,0.65,-488.0
M2_StochRSI,WIF,32,28.1,0.61,-759.0
M2_StochRSI,INJ,32,31.2,0.59,-547.0
M2_StochRSI,ZEC,27,33.3,0.58,-414.0
M2_StochRSI,LTC,31,22.6,0.57,-434.0
M2_StochRSI,BTC,23,34.8,0.5,-134.0
M2_StochRSI,IOTA,30,30.0,0.47,-634.0
M3_EMAx,BNB,61,31.1,1.66,1046.0
M3_EMAx,ADA,64,34.4,1.62,1525.0
M3_EMAx,DOGE,73,31.5,1.54,1655.0
M3_EMAx,ZEC,79,27.8,1.5,3051.0
M3_EMAx,SOL,67,31.3,1.28,668.0
M3_EMAx,SUI,78,33.3,1.28,951.0
M3_EMAx,XLM,68,25.0,1.21,671.0
M3_EMAx,1000PEPE,75,33.3,1.18,629.0
M3_EMAx,DOT,74,31.1,1.18,542.0
M3_EMAx,AVAX,74,31.1,1.12,437.0
M3_EMAx,INJ,80,36.2,1.1,349.0
M3_EMAx,XRP,72,31.9,1.08,227.0
M3_EMAx,ARB,73,30.1,1.06,230.0
M3_EMAx,OP,77,33.8,1.04,149.0
M3_EMAx,TRX,73,26.0,1.04,59.0
M3_EMAx,ETH,76,26.3,1.0,-6.0
M3_EMAx,WIF,71,32.4,0.99,-45.0
M3_EMAx,NEAR,69,27.5,0.96,-148.0
M3_EMAx,APT,86,23.3,0.93,-317.0
M3_EMAx,TON,76,28.9,0.93,-176.0
M3_EMAx,LINK,83,30.1,0.9,-366.0
M3_EMAx,IOTA,66,31.8,0.89,-329.0
M3_EMAx,BTC,74,25.7,0.87,-205.0
M3_EMAx,NEO,67,34.3,0.86,-390.0
M3_EMAx,ETC,76,26.3,0.85,-452.0
M3_EMAx,WLD,66,30.3,0.59,-1768.0
M3_EMAx,LTC,93,21.5,0.56,-1654.0
M3_EMAxF,ZEC,46,34.8,2.82,5475.0
M3_EMAxF,DOGE,39,30.8,1.84,1389.0
M3_EMAxF,XLM,36,27.8,1.63,1089.0
M3_EMAxF,ADA,34,29.4,1.47,670.0
M3_EMAxF,1000PEPE,39,35.9,1.34,567.0
M3_EMAxF,AVAX,46,28.3,1.3,705.0
M3_EMAxF,BNB,32,28.1,1.3,261.0
M3_EMAxF,DOT,41,34.1,1.29,499.0
