coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
BTC,M1_55EMA,L,2025-06-12 16:00:00+00:00,106960.6,2025-06-12 16:00:00+00:00,108322.80928853093,TP,1.1736,29.34
BTC,M1_55EMA,S,2025-06-15 08:00:00+00:00,105374.2,2025-06-16 04:00:00+00:00,106355.45788954063,SL,-1.0312,-25.78
BTC,M1_55EMA,S,2025-06-20 16:00:00+00:00,104168.5,2025-06-22 12:00:00+00:00,98966.8134896644,TP,4.8935,122.34
BTC,M1_55EMA,L,2025-07-01 08:00:00+00:00,107134.8,2025-07-01 08:00:00+00:00,106364.51936739667,SL,-0.819,-20.47
BTC,M1_55EMA,L,2025-07-04 16:00:00+00:00,107534.6,2025-07-04 16:00:00+00:00,107203.77455623122,SL,-0.4076,-10.19
BTC,M1_55EMA,L,2025-07-05 00:00:00+00:00,107935.3,2025-07-09 16:00:00+00:00,109858.65408160126,TP,1.682,42.05
BTC,M1_55EMA,L,2025-07-19 00:00:00+00:00,117896.5,2025-07-20 20:00:00+00:00,116408.26252513756,SL,-1.3623,-34.06
BTC,M1_55EMA,L,2025-07-21 04:00:00+00:00,118374.8,2025-07-22 00:00:00+00:00,116073.12951612458,SL,-2.0444,-51.11
BTC,M1_55EMA,L,2025-07-23 16:00:00+00:00,118530.9,2025-07-25 00:00:00+00:00,116915.20480082283,SL,-1.4631,-36.58
BTC,M1_55EMA,L,2025-07-28 16:00:00+00:00,118152.9,2025-07-28 16:00:00+00:00,117661.30871083283,SL,-0.5161,-12.9
BTC,M1_55EMA,L,2025-07-29 00:00:00+00:00,118041.5,2025-07-29 16:00:00+00:00,117150.59934760586,SL,-0.8547,-21.37
BTC,M1_55EMA,S,2025-08-07 00:00:00+00:00,114941.0,2025-08-07 08:00:00+00:00,115930.31839996832,SL,-0.9607,-24.02
BTC,M1_55EMA,S,2025-08-17 16:00:00+00:00,118191.0,2025-08-18 00:00:00+00:00,116992.99382761933,TP,0.9136,22.84
BTC,M1_55EMA,S,2025-08-28 08:00:00+00:00,113079.3,2025-08-28 16:00:00+00:00,111933.68293943071,TP,0.9131,22.83
BTC,M1_55EMA,S,2025-09-02 04:00:00+00:00,110286.0,2025-09-02 12:00:00+00:00,110898.35033893754,SL,-0.6552,-16.38
BTC,M1_55EMA,S,2025-09-07 08:00:00+00:00,110710.8,2025-09-07 08:00:00+00:00,111121.01431100849,SL,-0.4705,-11.76
BTC,M1_55EMA,L,2025-09-09 04:00:00+00:00,111657.7,2025-09-09 12:00:00+00:00,110838.23196883389,SL,-0.8339,-20.85
BTC,M1_55EMA,L,2025-09-09 20:00:00+00:00,111242.4,2025-09-10 08:00:00+00:00,112777.95655524443,TP,1.2804,32.01
BTC,M1_55EMA,L,2025-09-17 20:00:00+00:00,115587.5,2025-09-22 00:00:00+00:00,114391.02005483498,SL,-1.1351,-28.38
BTC,M1_55EMA,L,2025-10-09 16:00:00+00:00,121079.4,2025-10-09 16:00:00+00:00,120217.95939970898,SL,-0.8115,-20.29
BTC,M1_55EMA,S,2025-10-23 08:00:00+00:00,109228.6,2025-10-23 16:00:00+00:00,110709.59464256918,SL,-1.4559,-36.4
BTC,M1_55EMA,L,2025-10-29 04:00:00+00:00,112459.6,2025-10-29 12:00:00+00:00,111735.81232242052,SL,-0.7436,-18.59
BTC,M1_55EMA,S,2025-10-31 16:00:00+00:00,110160.1,2025-11-03 04:00:00+00:00,107181.44402693384,TP,2.6039,65.1
BTC,M1_55EMA,L,2025-11-11 12:00:00+00:00,105256.2,2025-11-11 12:00:00+00:00,104340.63697575261,SL,-0.9698,-24.25
BTC,M2_StochRSI,L,2025-06-29 22:00:00+00:00,107499.6,2025-06-30 14:00:00+00:00,107057.06706383482,SL,-0.5117,-12.79
BTC,M2_StochRSI,L,2025-06-30 16:00:00+00:00,107525.7,2025-06-30 21:00:00+00:00,106889.85148075368,SL,-0.6913,-17.28
BTC,M2_StochRSI,L,2025-07-03 06:00:00+00:00,109290.4,2025-07-04 08:00:00+00:00,108580.21555682717,SL,-0.7498,-18.75
BTC,M2_StochRSI,L,2025-07-04 17:00:00+00:00,107593.2,2025-07-05 01:00:00+00:00,107939.8,OSC,0.2221,5.55
BTC,M2_StochRSI,L,2025-07-07 09:00:00+00:00,108961.3,2025-07-07 12:00:00+00:00,108423.66974579495,SL,-0.5934,-14.84
BTC,M2_StochRSI,L,2025-07-07 14:00:00+00:00,108478.6,2025-07-07 14:00:00+00:00,107948.26868710852,SL,-0.5889,-14.72
BTC,M2_StochRSI,L,2025-07-07 19:00:00+00:00,107976.1,2025-07-08 08:00:00+00:00,108208.0,OSC,0.1148,2.87
BTC,M2_StochRSI,L,2025-07-11 15:00:00+00:00,117847.9,2025-07-11 16:00:00+00:00,116698.77558981853,SL,-1.0751,-26.88
BTC,M2_StochRSI,L,2025-07-12 02:00:00+00:00,117618.6,2025-07-13 05:00:00+00:00,117714.9,OSC,-0.0181,-0.45
BTC,M2_StochRSI,L,2025-07-14 17:00:00+00:00,120261.0,2025-07-15 01:00:00+00:00,118990.92095317786,SL,-1.1561,-28.9
BTC,M2_StochRSI,L,2025-07-15 05:00:00+00:00,117481.7,2025-07-15 14:00:00+00:00,116191.95639493337,SL,-1.1978,-29.95
BTC,M2_StochRSI,L,2025-07-17 02:00:00+00:00,118115.0,2025-07-17 19:00:00+00:00,118948.8,OSC,0.6059,15.15
BTC,M2_StochRSI,L,2025-07-18 11:00:00+00:00,119240.2,2025-07-18 14:00:00+00:00,118027.91797122131,SL,-1.1167,-27.92
BTC,M2_StochRSI,L,2025-07-18 19:00:00+00:00,117297.9,2025-07-19 05:00:00+00:00,118174.0,OSC,0.6469,16.17
BTC,M2_StochRSI,L,2025-07-23 10:00:00+00:00,118002.1,2025-07-24 02:00:00+00:00,118930.2,OSC,0.6865,17.16
BTC,M2_StochRSI,S,2025-07-26 01:00:00+00:00,117473.2,2025-07-27 01:00:00+00:00,118063.6,OSC,-0.6026,-15.06
BTC,M2_StochRSI,L,2025-07-27 11:00:00+00:00,118155.9,2025-07-27 18:00:00+00:00,119008.1,OSC,0.6213,15.53
BTC,M2_StochRSI,L,2025-07-28 07:00:00+00:00,119444.9,2025-07-28 07:00:00+00:00,118834.78884936543,SL,-0.6108,-15.27
BTC,M2_StochRSI,L,2025-07-28 14:00:00+00:00,118411.9,2025-07-28 17:00:00+00:00,117755.08284517814,SL,-0.6547,-16.37
BTC,M2_StochRSI,L,2025-07-28 20:00:00+00:00,118050.0,2025-07-29 06:00:00+00:00,118720.1,OSC,0.4676,11.69
BTC,M2_StochRSI,S,2025-08-01 15:00:00+00:00,115568.7,2025-08-02 16:00:00+00:00,113156.9,OSC,1.9869,49.67
BTC,M2_StochRSI,S,2025-08-03 05:00:00+00:00,113424.3,2025-08-03 18:00:00+00:00,114276.08149042085,SL,-0.851,-21.27
BTC,M2_StochRSI,S,2025-08-03 21:00:00+00:00,114370.1,2025-08-04 07:00:00+00:00,114607.0,OSC,-0.3071,-7.68
BTC,M3_EMAx,S,2025-06-12 00:00:00+00:00,108600.1,2025-06-15 20:00:00+00:00,105534.6,FLIP,2.7227,68.07
BTC,M3_EMAx,L,2025-06-16 00:00:00+00:00,105534.7,2025-06-17 12:00:00+00:00,104199.2,FLIP,-1.3655,-34.14
BTC,M3_EMAx,S,2025-06-17 16:00:00+00:00,104199.2,2025-06-20 04:00:00+00:00,105763.5,FLIP,-1.6013,-40.03
BTC,M3_EMAx,L,2025-06-20 08:00:00+00:00,105763.6,2025-06-20 16:00:00+00:00,103637.27204672717,SL,-2.1105,-52.76
BTC,M3_EMAx,L,2025-06-23 20:00:00+00:00,103114.2,2025-06-27 16:00:00+00:00,106748.1,FLIP,3.4242,85.6
BTC,M3_EMAx,S,2025-06-27 20:00:00+00:00,106748.2,2025-06-28 00:00:00+00:00,107248.0,FLIP,-0.5682,-14.21
BTC,M3_EMAx,L,2025-06-28 04:00:00+00:00,107248.0,2025-06-30 20:00:00+00:00,107087.4,FLIP,-0.2497,-6.24
BTC,M3_EMAx,S,2025-07-01 00:00:00+00:00,107087.3,2025-07-02 08:00:00+00:00,107439.6,FLIP,-0.429,-10.72
BTC,M3_EMAx,L,2025-07-02 12:00:00+00:00,107439.7,2025-07-04 12:00:00+00:00,107534.7,FLIP,-0.0116,-0.29
BTC,M3_EMAx,S,2025-07-04 16:00:00+00:00,107534.6,2025-07-06 12:00:00+00:00,108856.8,FLIP,-1.3296,-33.24
BTC,M3_EMAx,L,2025-07-06 16:00:00+00:00,108856.8,2025-07-07 16:00:00+00:00,107543.10446379367,SL,-1.3068,-32.67
BTC,M3_EMAx,L,2025-07-08 12:00:00+00:00,108713.2,2025-07-08 12:00:00+00:00,108217.0,FLIP,-0.5564,-13.91
BTC,M3_EMAx,S,2025-07-08 16:00:00+00:00,108217.0,2025-07-08 16:00:00+00:00,108723.6,FLIP,-0.5681,-14.2
BTC,M3_EMAx,L,2025-07-08 20:00:00+00:00,108723.6,2025-07-15 00:00:00+00:00,117209.2,FLIP,7.7047,192.62
BTC,M3_EMAx,S,2025-07-15 04:00:00+00:00,117209.2,2025-07-16 08:00:00+00:00,118755.1,FLIP,-1.4189,-35.47
BTC,M3_EMAx,L,2025-07-16 12:00:00+00:00,118755.1,2025-07-17 08:00:00+00:00,117968.9,FLIP,-0.762,-19.05
BTC,M3_EMAx,S,2025-07-17 12:00:00+00:00,117968.8,2025-07-17 12:00:00+00:00,118875.0,FLIP,-0.8682,-21.7
BTC,M3_EMAx,L,2025-07-17 16:00:00+00:00,118875.0,2025-07-18 12:00:00+00:00,117830.0,FLIP,-0.9791,-24.48
BTC,M3_EMAx,S,2025-07-18 16:00:00+00:00,117830.1,2025-07-20 12:00:00+00:00,118669.3,FLIP,-0.8122,-20.31
BTC,M3_EMAx,L,2025-07-20 16:00:00+00:00,118669.4,2025-07-20 20:00:00+00:00,116538.21836047634,SL,-1.8959,-47.4
BTC,M3_EMAx,L,2025-07-21 08:00:00+00:00,119352.3,2025-07-21 16:00:00+00:00,116921.00497692537,SL,-2.1371,-53.43
