coin,method,side,entry_dt,entry,exit_dt,exit,reason,pnl_pct,pnl_usd
BTC,QR7_A,S,2025-07-01T13:20:00.000,106462.5,2025-07-01T13:25:00.000,106568.13500461714,SL,-0.1992,-4.98
BTC,QR7_A,S,2025-07-01T13:40:00.000,106495.2,2025-07-01T13:40:00.000,106476.17841963409,VWAP,-0.0821,-2.05
BTC,QR7_A,S,2025-07-01T13:55:00.000,106729.7,2025-07-01T14:05:00.000,106959.0466063227,SL,-0.3149,-7.87
BTC,QR7_A,S,2025-07-01T14:15:00.000,107071.9,2025-07-01T14:25:00.000,106661.78694868738,VWAP,0.283,7.08
BTC,QR7_A,L,2025-07-02T01:20:00.000,105419.5,2025-07-02T01:20:00.000,105452.23443839044,VWAP,-0.0689,-1.72
BTC,QR7_A,S,2025-07-02T02:55:00.000,105810.8,2025-07-02T03:10:00.000,106009.52154085581,SL,-0.2878,-7.2
BTC,QR7_A,S,2025-07-02T03:20:00.000,105950.1,2025-07-02T04:40:00.000,106217.8793325881,SL,-0.3527,-8.82
BTC,QR7_A,S,2025-07-03T01:25:00.000,109004.4,2025-07-03T02:00:00.000,108895.69661587212,VWAP,-0.0003,-0.01
BTC,QR7_A,L,2025-07-03T02:50:00.000,108569.5,2025-07-03T04:10:00.000,108762.00368919042,VWAP,0.0773,1.93
BTC,QR7_A,S,2025-07-03T05:10:00.000,109082.5,2025-07-03T06:20:00.000,109381.65333444736,SL,-0.3742,-9.36
BTC,QR7_A,S,2025-07-03T06:35:00.000,109372.1,2025-07-03T09:15:00.000,109642.6721155325,SL,-0.3474,-8.68
BTC,QR7_A,S,2025-07-03T13:50:00.000,110274.4,2025-07-03T14:55:00.000,109503.58640469245,VWAP,0.599,14.97
BTC,QR7_A,S,2025-07-04T01:30:00.000,109591.9,2025-07-04T01:35:00.000,109528.16435987277,VWAP,-0.0418,-1.05
BTC,QR7_A,L,2025-07-04T02:10:00.000,109437.6,2025-07-04T02:15:00.000,109279.57827101325,SL,-0.2444,-6.11
BTC,QR7_A,L,2025-07-04T02:25:00.000,109305.1,2025-07-04T02:30:00.000,109141.77988396618,SL,-0.2494,-6.24
BTC,QR7_A,L,2025-07-04T02:40:00.000,109147.6,2025-07-04T04:45:00.000,108923.42664606676,SL,-0.3054,-7.63
BTC,QR7_A,L,2025-07-04T13:35:00.000,108452.2,2025-07-04T13:55:00.000,107975.00701620746,SL,-0.54,-13.5
BTC,QR7_A,L,2025-07-04T14:15:00.000,107689.0,2025-07-04T22:40:00.000,108213.4605434832,VWAP,0.387,9.68
BTC,QR7_A,L,2025-07-05T01:25:00.000,107904.1,2025-07-05T02:30:00.000,107742.5276928998,SL,-0.2497,-6.24
BTC,QR7_A,S,2025-07-05T04:35:00.000,108241.9,2025-07-05T05:00:00.000,108042.55359743915,VWAP,0.0842,2.1
BTC,QR7_A,L,2025-07-05T16:40:00.000,107893.9,2025-07-05T16:55:00.000,108034.58729081378,VWAP,0.0304,0.76
BTC,QR7_A,L,2025-07-06T01:35:00.000,108066.4,2025-07-06T01:50:00.000,108116.653506893,VWAP,-0.0535,-1.34
BTC,QR7_A,S,2025-07-06T02:20:00.000,108089.4,2025-07-06T02:20:00.000,108123.19351961254,VWAP,-0.1313,-3.28
BTC,QR7_A,L,2025-07-06T03:35:00.000,107989.6,2025-07-06T04:30:00.000,107912.82907104578,SL,-0.1711,-4.28
BTC,QR7_A,L,2025-07-06T05:10:00.000,107928.3,2025-07-06T06:15:00.000,108055.97205896974,VWAP,0.0183,0.46
BTC,QR7_A,L,2025-07-06T09:50:00.000,107829.9,2025-07-06T10:30:00.000,107988.43206556332,VWAP,0.047,1.18
BTC,QR7_A,S,2025-07-06T13:40:00.000,108536.5,2025-07-06T13:50:00.000,108887.58837762635,SL,-0.4235,-10.59
