coin,method,entry_dt,exit_dt,reason,pnl_pct,pnl_usd
BTC,QR8_gated,2025-06-17T16:00:00.000,2025-06-18T01:00:00.000,TP,0.7024,17.56
BTC,QR8_gated,2025-07-04T16:00:00.000,2025-07-05T03:00:00.000,TP,0.396,9.9
BTC,QR8_gated,2025-07-15T04:00:00.000,2025-07-15T13:00:00.000,TP,0.7663,19.16
BTC,QR8_gated,2025-07-25T03:00:00.000,2025-07-25T03:00:00.000,SL,-0.9252,-23.13
BTC,QR8_gated,2025-07-25T08:00:00.000,2025-07-25T17:00:00.000,TP,0.7021,17.55
BTC,QR8_gated,2025-08-14T13:00:00.000,2025-08-14T16:00:00.000,SL,-1.2628,-31.57
BTC,QR8_gated,2025-08-15T15:00:00.000,2025-08-16T04:00:00.000,TP,0.182,4.55
BTC,QR8_gated,2025-08-18T02:00:00.000,2025-08-18T02:00:00.000,SL,-0.6466,-16.16
BTC,QR8_gated,2025-08-18T04:00:00.000,2025-08-18T15:00:00.000,TP,0.448,11.2
BTC,QR8_gated,2025-09-19T18:00:00.000,2025-09-20T06:00:00.000,TP,0.0446,1.11
BTC,QR8_gated,2025-09-22T01:00:00.000,2025-09-22T05:00:00.000,SL,-0.4944,-12.36
BTC,QR8_gated,2025-09-22T07:00:00.000,2025-09-22T19:00:00.000,SL,-0.7711,-19.28
BTC,QR8_gated,2025-10-07T17:00:00.000,2025-10-08T08:00:00.000,TP,0.0652,1.63
BTC,QR8_gated,2025-10-10T17:00:00.000,2025-10-10T19:00:00.000,SL,-1.1532,-28.83
BTC,QR8_gated,2025-10-10T21:00:00.000,2025-10-10T21:00:00.000,SL,-1.5642,-39.1
BTC,QR8_gated,2025-10-10T23:00:00.000,2025-10-11T07:00:00.000,SL,-2.8442,-71.11
BTC,QR8_gated,2025-10-29T17:00:00.000,2025-10-29T18:00:00.000,SL,-0.9649,-24.12
BTC,QR8_gated,2025-11-03T04:00:00.000,2025-11-03T06:00:00.000,SL,-0.9167,-22.92
BTC,QR8_gated,2025-11-03T09:00:00.000,2025-11-03T10:00:00.000,SL,-0.9545,-23.86
BTC,QR8_gated,2025-11-03T16:00:00.000,2025-11-04T01:00:00.000,TP,1.1807,29.52
BTC,QR8_gated,2025-12-05T15:00:00.000,2025-12-05T16:00:00.000,SL,-1.1524,-28.81
BTC,QR8_gated,2025-12-05T18:00:00.000,2025-12-06T06:00:00.000,TP,0.3432,8.58
BTC,QR8_gated,2025-12-11T03:00:00.000,2025-12-11T18:00:00.000,TP,0.1669,4.17
BTC,QR8_gated,2026-01-06T18:00:00.000,2026-01-06T21:00:00.000,TP,1.7249,43.12
BTC,QR8_gated,2026-01-08T07:00:00.000,2026-01-08T15:00:00.000,TP,0.7663,19.16
BTC,QR8_gated,2026-01-19T00:00:00.000,2026-01-19T00:00:00.000,SL,-0.6137,-15.34
BTC,QR8_gated,2026-01-19T02:00:00.000,2026-01-19T16:00:00.000,TP,0.5388,13.47
BTC,QR8_gated,2026-01-20T05:00:00.000,2026-01-20T05:00:00.000,SL,-0.7393,-18.48
BTC,QR8_gated,2026-01-20T07:00:00.000,2026-01-20T15:00:00.000,SL,-0.8502,-21.26
BTC,QR8_gated,2026-01-20T18:00:00.000,2026-01-20T22:00:00.000,SL,-1.0618,-26.54
BTC,QR8_gated,2026-01-21T00:00:00.000,2026-01-21T05:00:00.000,TP,1.5147,37.87
BTC,QR8_gated,2026-03-06T14:00:00.000,2026-03-06T14:00:00.000,SL,-1.4733,-36.83
BTC,QR8_gated,2026-03-06T16:00:00.000,2026-03-07T07:00:00.000,SL,-1.5877,-39.69
BTC,QR8_gated,2026-03-07T20:00:00.000,2026-03-08T07:00:00.000,TP,0.3884,9.71
BTC,QR8_gated,2026-03-18T13:00:00.000,2026-03-18T14:00:00.000,SL,-1.2371,-30.93
BTC,QR8_gated,2026-03-18T16:00:00.000,2026-03-18T20:00:00.000,SL,-1.3716,-34.29
BTC,QR8_gated,2026-03-19T08:00:00.000,2026-03-19T12:00:00.000,SL,-1.2904,-32.26
