variant,coin,entry_ts,direction,tag,pnl_pct,pnl_usd,win
BASE,DOT,2024-07-05 17:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,DOT,2024-07-20 13:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,DOT,2024-07-26 10:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,DOT,2024-08-12 12:00:00+00:00,SHORT,ORIG,2.5,62.5,True
BASE,DOT,2024-08-25 08:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,DOT,2024-08-30 12:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2024-09-07 10:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2024-09-22 13:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,DOT,2024-09-28 12:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,DOT,2024-09-28 16:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,DOT,2024-11-05 11:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2024-11-13 12:00:00+00:00,LONG,ORIG,3.0,75.0,True
BASE,DOT,2024-11-25 21:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,DOT,2024-11-26 11:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,DOT,2025-01-21 18:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2025-02-07 13:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2025-02-25 21:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,DOT,2025-04-02 16:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2025-04-02 20:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2025-07-31 09:00:00+00:00,SHORT,ORIG,2.5,62.5,True
BASE,DOT,2025-08-03 08:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2025-08-03 18:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2025-10-04 11:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,DOT,2025-10-04 16:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,DOT,2025-10-10 13:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2025-10-12 16:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2025-10-19 14:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2025-10-19 17:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2025-10-19 20:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2025-11-08 16:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,DOT,2025-11-20 08:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2025-11-20 13:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,DOT,2025-12-13 09:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2025-12-18 15:00:00+00:00,SHORT,ORIG,5.0,125.0,True
BASE,DOT,2025-12-19 16:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2026-01-26 14:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2026-02-01 08:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2026-02-02 17:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2026-02-06 17:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2026-02-07 21:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,DOT,2026-04-24 08:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2026-04-24 13:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,DOT,2026-05-09 15:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,DOT,2026-06-07 08:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,DOT,2026-06-22 13:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,DOT,2026-06-25 07:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,DOT,2026-06-26 16:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,SUI,2024-07-21 07:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,SUI,2024-07-26 08:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,SUI,2024-08-04 10:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,SUI,2024-08-11 08:00:00+00:00,LONG,ORIG,0.0,0.0,False
BASE,SUI,2024-08-14 11:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,SUI,2024-10-01 17:00:00+00:00,LONG,ORIG,0.0,0.0,False
BASE,SUI,2024-10-13 14:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,SUI,2024-12-14 13:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,SUI,2024-12-14 19:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,SUI,2025-02-03 16:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,SUI,2025-02-03 18:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2025-02-07 14:00:00+00:00,SHORT,ORIG,3.5,87.5,True
BASE,SUI,2025-02-28 19:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,SUI,2025-03-28 08:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,SUI,2025-06-06 10:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2025-08-03 08:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2025-10-10 10:00:00+00:00,SHORT,ORIG,4.5,112.5,True
BASE,SUI,2025-10-11 11:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,SUI,2025-10-12 15:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2025-11-17 10:00:00+00:00,SHORT,ORIG,5.0,125.0,True
BASE,SUI,2025-11-20 09:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2025-12-19 14:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,SUI,2026-01-14 12:00:00+00:00,LONG,ORIG,0.0,0.0,False
BASE,SUI,2026-01-26 12:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2026-02-02 17:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,SUI,2026-02-02 19:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,SUI,2026-02-07 21:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,SUI,2026-03-17 10:00:00+00:00,LONG,ORIG,0.0,0.0,False
BASE,SUI,2026-03-23 11:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2026-03-23 21:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,SUI,2026-05-11 09:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,SUI,2026-05-11 11:00:00+00:00,LONG,ORIG,0.0,0.0,False
BASE,SUI,2026-06-07 07:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,SUI,2026-06-22 12:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,SUI,2026-06-25 07:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,WLD,2024-07-06 16:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,WLD,2024-07-18 08:00:00+00:00,LONG,ORIG,2.5,62.5,True
BASE,WLD,2024-07-20 12:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,WLD,2024-08-12 14:00:00+00:00,SHORT,ORIG,2.0,50.0,True
BASE,WLD,2024-08-18 12:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,WLD,2025-04-27 17:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,WLD,2025-05-26 19:00:00+00:00,LONG,ORIG,1.5,37.5,True
BASE,WLD,2025-07-14 21:00:00+00:00,LONG,ORIG,0.0,0.0,False
BASE,WLD,2025-08-03 08:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,WLD,2025-08-03 20:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
BASE,WLD,2025-09-11 12:00:00+00:00,LONG,ORIG,-1.5,-37.5,False
BASE,WLD,2025-09-24 17:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,WLD,2025-10-11 11:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,WLD,2025-10-12 16:00:00+00:00,SHORT,ORIG,1.5,37.5,True
BASE,WLD,2025-11-17 07:00:00+00:00,SHORT,ORIG,3.5,87.5,True
BASE,WLD,2025-11-18 10:00:00+00:00,SHORT,ORIG,0.0,0.0,False
BASE,WLD,2025-12-19 15:00:00+00:00,SHORT,ORIG,-1.5,-37.5,False
